date,title,href,author,view,up,down,page
2026.03.10 10:51,내말 맞지 풀 매수하라고,https://finance.naver.com/item/board_read.naver?code=279570&nid=414583323&page=1,실속형저점매수똑똑이,4,0,0,1
2026.03.10 10:51,빨리 팔고 도망들가라 그래야 열차출발하지...,https://finance.naver.com/item/board_read.naver?code=279570&nid=414583320&page=1,오호통재라,2,0,0,1
2026.03.10 10:51,진짜 애네들 주식 초짜들많네,https://finance.naver.com/item/board_read.naver?code=279570&nid=414583278&page=1,고독한호랑이,6,0,0,1
2026.03.10 10:51,"최소, 공모가는 가야하는거 아냐",https://finance.naver.com/item/board_read.naver?code=279570&nid=414583272&page=1,건투사,3,0,0,1
2026.03.10 10:51,"기관은 6일부터, 외국인 오늘, 연기금 ...",https://finance.naver.com/item/board_read.naver?code=279570&nid=414583271&page=1,알리,6,0,0,1
2026.03.10 10:50,빨리들 팔고 나가라,https://finance.naver.com/item/board_read.naver?code=279570&nid=414583148&page=1,수니2,11,0,1,1
2026.03.10 10:50,종가 7500원되려나,https://finance.naver.com/item/board_read.naver?code=279570&nid=414583144&page=1,햄찌찌유,6,0,0,1
2026.03.10 10:50,8처넌 방어가 안되네,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582994&page=1,피키블라인더스,17,0,0,1
2026.03.10 10:49,7.900원 기준선이네,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582959&page=1,행복을만든다,14,0,0,1
2026.03.10 10:49,이제 흘러내리게 시작이네요,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582941&page=1,편안한배당미녀,11,2,0,1
2026.03.10 10:49,오늘 9900원 찍자 [ 2 ],https://finance.naver.com/item/board_read.naver?code=279570&nid=414582940&page=1,멘탈강한배당주돌고래,15,3,0,1
2026.03.10 10:48,오늘장에 상도 못가냐?,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582687&page=1,카카오카페,27,0,0,1
2026.03.10 10:47,요즘 같은 장  스타주  상2방  나와져...,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582588&page=1,상상조,32,3,0,1
2026.03.10 10:47,오늘 일내겠다,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582542&page=1,불꽃귓방망이9대,27,2,1,1
2026.03.10 10:47,형님들 이거 도망가야해요? [ 4 ],https://finance.naver.com/item/board_read.naver?code=279570&nid=414582436&page=1,이린주보초,131,0,3,1
2026.03.10 10:46,오늘 상 한번 가 줘야,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582343&page=1,수구대토,29,1,1,1
2026.03.10 10:46,고점판독기 등장,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582329&page=1,아싸라비아콜롬비아호이호이,25,1,0,1
2026.03.10 10:46,급등주에,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582229&page=1,배려하는코스피기사,26,0,0,1
2026.03.10 10:45,이제 쳐 올려라,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582190&page=1,정많은실력두루미,12,1,0,1
2026.03.10 10:45,끝낫네 윗꼬리 에휴,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582103&page=1,시밤밤,17,0,1,1
2026.03.10 10:45,팔사람 빨리 빨리 팔아라,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582077&page=2,기회주의자,18,0,0,2
2026.03.10 10:45,고점 계속 내려오고...,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582076&page=2,충실한종목전망멘토,18,0,1,2
2026.03.10 10:45,전쟁 아직안끝낫다,https://finance.naver.com/item/board_read.naver?code=279570&nid=414582057&page=2,대장님임,12,0,0,2
2026.03.10 10:45,이,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581993&page=2,쑥,11,1,0,2
2026.03.10 10:45,Ai 예측 [ 1 ],https://finance.naver.com/item/board_read.naver?code=279570&nid=414581841&page=2,STTM,76,0,1,2
2026.03.10 10:44,연기금 프매외인,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581792&page=2,dwbh,28,2,0,2
2026.03.10 10:44,제자리 돌아가기 시작했다,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581790&page=2,늠름남,12,0,2,2
2026.03.10 10:44,올은 요기까정~~ 종베 해야징,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581786&page=2,shs,9,0,1,2
2026.03.10 10:44,언제  얼마에    돌릴지,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581774&page=2,돌파눌림,16,0,0,2
2026.03.10 10:44,상 가즈아!,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581751&page=2,재미로콰이,14,1,0,2
2026.03.10 10:44,장난치지말고,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581712&page=2,양봉갑시당,14,1,0,2
2026.03.10 10:43,버텨야할까요 [ 1 ],https://finance.naver.com/item/board_read.naver?code=279570&nid=414581658&page=2,낮,69,1,0,2
2026.03.10 10:43,미끄럼틀 찻트다,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581640&page=2,주식초고수,8,0,1,2
2026.03.10 10:43,힘더럽게없네 거래량터져도못가네,https://finance.naver.com/item/board_read.naver?code=279570&nid=414581637&page=2,인생역전합시다,16,0,0,2
