date,title,href,author,view,up,down,page
2026.03.09 14:13,티슈 심사 D-4..일본 위험자산 투매 폭락,https://finance.naver.com/item/board_read.naver?code=008500&nid=414499204&page=1,곰곰5,1,0,0,1
2026.03.09 13:13,일정실업,https://finance.naver.com/item/board_read.naver?code=008500&nid=414490420&page=1,mc4366,11,0,0,1
2026.03.09 11:13,ㅋㅋㅋㅋㅋ  돈 많은 누가 시장가로 좀 긁어줘... [ 3 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=414472003&page=1,신중한전략엘프,37,0,0,1
2026.03.09 11:02,10% 이상 하락했어요 😞,https://finance.naver.com/item/board_read.naver?code=008500&nid=414469360&page=1,일정실업 소식,4,0,0,1
2026.03.09 09:00,5% 이상 하락했어요 😞,https://finance.naver.com/item/board_read.naver?code=008500&nid=414435198&page=1,일정실업 소식,6,0,0,1
2026.03.06 21:23,ㅋㅋㅋ 회사 계속 통화중으로 돌려둔게 ㅋㅋㅋ [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=414366729&page=1,신중한전략엘프,127,1,0,1
2026.03.06 18:04,아싸드디어 5거래일 남앗다,https://finance.naver.com/item/board_read.naver?code=008500&nid=414357236&page=1,내성적인타이밍호랑이,99,0,0,1
2026.03.06 09:00,5% 이상 하락했어요 😞,https://finance.naver.com/item/board_read.naver?code=008500&nid=414279049&page=1,일정실업 소식,83,1,0,1
2026.03.06 08:46,투자주의 딱 걸림..D-5...,https://finance.naver.com/item/board_read.naver?code=008500&nid=414276983&page=1,곰곰5,116,1,0,1
2026.03.05 20:06,"[AI 요약] 일정실업, 투자주의 종목으로 지...",https://finance.naver.com/item/board_read.naver?code=008500&nid=414249790&page=1,일정실업 소식,172,0,0,1
2026.03.05 16:36,사라고 [ 1 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=414237437&page=1,야무진넘,156,0,1,1
2026.03.05 15:32,?????????????????? [ 2 ],https://finance.naver.com/item/board_read.naver?code=008500&nid=414230876&page=1,신중한전략엘프,208,0,0,1
2026.03.05 15:32,20% 이상 상승했어요 🎉,https://finance.naver.com/item/board_read.naver?code=008500&nid=414230796&page=1,일정실업 소식,106,0,0,1
2026.03.05 09:08,5% 이상 상승했어요 🎉,https://finance.naver.com/item/board_read.naver?code=008500&nid=414160554&page=1,일정실업 소식,105,0,0,1
